Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Switzerland,1,7.587,0.41978,0.954,82.8468,13.71187973,70410.26815,2.366899217,0.039,5,4.668199391,2015
Iceland,2,7.561,0.14145,0.945,82.3508,13.18435363,48904.51421,2.55416,0.063,4,10.70787269,2015
Denmark,3,7.527,0.48357,0.936,80.738,12.63831997,54690.48924,4.33284,0.035,4,6.188361303,2015
Norway,4,7.522,0.36503,0.953,82.2718,12.77120972,66756.61403,5.26284,0.04,3,8.772584366,2015
Canada,5,7.427,0.32957,0.926,81.9246,13.69808826,46417.51312,2.696,0.103,11,15.90658544,2015
Finland,6,7.406,0.41372,0.93,81.4178,12.63366985,45628.12268,1.98233,0.054,3,8.05059621,2015
Netherlands,7,7.378,0.31814,0.932,81.4821,12.13512993,52989.64531,4.56792,0.033,6,9.69388728,2015
Sweden,8,7.364,0.43844,0.937,82.1834,12.35441017,51490.20301,3.51567,0.039,4,4.465214876,2015
New Zealand,9,7.286,0.42922,0.931,81.9765,13.23099995,38628.37835,1.772488496,0.136,10,7.816892374,2015
Australia,10,7.284,0.35637,0.933,82.6552,12.2456398,46307.57617,2.72096402,0.111,6,16.85069952,2015
Israel,11,7.278,0.07785,0.909,82.0999,12.9602499,36704.39549,6.604792,0.104,3,7.893085032,2015
Costa Rica,12,7.226,0.10583,0.798,79.0857,8.584500313,18327.60822,11.91329,0.31,28,1.527702028,2015
Austria,13,7.2,0.18676,0.91,81.1594,12.07699013,52450.23877,2.60756,0.084,5,7.645373825,2015
Mexico,14,7.187,0.21312,0.768,74.6822,8.601650238,18777.73886,15.40212083,0.349,36,3.955206712,2015
United States of America,15,7.119,0.1589,0.92,78.8694,13.25187969,59682.8778,3.03614997,0.219,18,16.74083424,2015
Brazil,16,6.983,0.17521,0.753,74.3325,7.506820202,14780.05656,18.04837,0.437,63,2.58888062,2015
Luxembourg,17,6.946,0.37798,0.915,81.8384,12.45672989,74254.42678,9.35443,0.067,5,16.49430692,2015
Ireland,18,6.94,0.28703,0.925,81.4163,11.28944651,55490.8464,2.87308,0.109,6,8.315620349,2015
Belgium,19,6.937,0.2254,0.924,80.8898,11.89404011,50027.9913,8.0071,0.063,5,8.952519237,2015
United Kingdom,21,6.867,0.32067,0.924,80.9238,12.97976335,44136.35045,3.7586,0.13,8,6.412680895,2015
Oman,22,6.853,0.32524,0.823,77.6869,9.547050476,33568.72682,11.94880067,0.341,19,14.49527904,2015
Venezuela,23,6.81,0.11069,0.767,73.0064,9.641010284,17510.852,14.28363686,0.487,115,5.987807457,2015
Singapore,24,6.798,0.4921,0.93,82.8265,11.57108974,83968.19969,10.72002454,0.057,9,11.11028456,2015
