Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Finland,1,7.769,0.393,Very High,11.0,0.939,81.8706,19.05192947,12.87362003,48901.80936,0.989,5.196899503,3.01364851,2.23918,10.33787,0.031,3.0,36.73,7.690672497,2019
Denmark,2,7.6,0.41,Very High,6.0,0.946,81.4337,18.71479988,12.91060019,58650.26154,0.981,5.654176324,3.171468973,2.90482,10.88624,0.016,4.0,25.86,5.353077578,2019
Norway,3,7.554,0.341,Very High,2.0,0.961,82.9552,18.18519974,13.00362968,66481.78169,0.99,5.530066594,2.720519781,2.3324,11.53728,0.016,2.0,38.82,7.969165196,2019
Iceland,4,7.494,0.118,Very High,3.0,0.96,82.4042,19.16305923,13.72735977,58055.06597,0.98,4.646738233,2.225374699,2.20077,9.51407,0.051,4.0,59.61,10.47308358,2019
Netherlands,5,7.488,0.298,Very High,10.0,0.943,82.0455,18.69316522,12.4523201,57039.03195,0.965,6.881701072,3.487623215,5.3671,11.79038,0.028,5.0,32.26,8.983963975,2019
Switzerland,6,7.48,0.343,Very High,1.0,0.962,83.7802,16.50029945,13.85966015,68432.68312,0.967,6.606457233,3.214911699,1.82879,14.77567,0.018,5.0,31.14,4.276607966,2019
Sweden,7,7.343,0.373,Very High,7.0,0.947,83.0524,19.41852951,12.60972023,54222.71686,0.986,6.312915047,2.67092514,3.68669,12.58113,0.024,4.0,26.72,4.078851546,2019
New Zealand,8,7.307,0.38,Very High,13.0,0.937,82.5665,20.28388977,13.04222727,42403.52046,0.969,7.433357033,4.010540962,1.840131778,16.44939836,0.1,9.0,30.7,7.839014456,2019
Canada,9,7.278,0.308,Very High,15.0,0.937,82.3628,16.39625931,13.83442722,48464.81227,0.988,7.971058988,4.315176964,2.521,17.077,0.069,10.0,35.05,15.56731625,2019
Austria,10,7.246,0.226,Very High,25.0,0.919,81.9077,16.00795937,12.25669003,55323.03915,0.968,6.552980083,3.34727025,2.91745,13.39422,0.054,5.0,24.62,7.589237956,2019
Australia,11,7.228,0.29,Very High,5.0,0.941,83.11,21.57801056,12.65668964,47312.192,0.969,7.887965016,3.48132515,3.056569899,17.126,0.08,6.0,46.82,16.44699216,2019
Costa Rica,12,7.167,0.093,Very High,58.0,0.819,79.4272,16.54577065,8.763615131,19684.85681,0.988,16.89880683,5.706110477,11.57677,33.41354,0.269,27.0,14.43,1.746962543,2019
