Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Finland,7.808700085,0.195444584,1,Very High,11.0,0.938,81.8657,19.05192947,12.87362003,47946.32854,0.99,5.259154375,2.878533125,2.41555,10.48338,0.032,3.0,36.73,7.090703013,2020
Denmark,7.645599842,0.168489456,2,Very High,6.0,0.947,81.5449,18.71479988,12.96049023,58143.77306,0.981,5.270437869,3.256873608,2.50376,10.05068,0.013,4.0,25.86,4.522442415,2020
Switzerland,7.559899807,0.303728431,3,Very High,1.0,0.956,83.067,16.50029945,13.85966015,65011.21711,0.967,7.012637499,3.441622496,2.01457,15.58172,0.018,5.0,31.14,3.731913422,2020
Iceland,7.504499912,0.711709738,4,Very High,3.0,0.957,82.5755,19.16305923,13.76716995,54141.4547,0.977,4.600179058,2.085697174,2.20077,9.51407,0.051,4.0,59.61,8.603839493,2020
Norway,7.487999916,0.263218194,5,Very High,2.0,0.959,83.1951,18.18519974,13.00362968,62572.93547,0.99,5.420141472,2.496584415,2.3324,11.43144,0.014,2.0,38.82,7.615046075,2020
Netherlands,7.448900223,0.364717126,6,Very High,10.0,0.939,81.6381,18.69316522,12.58162975,53503.64286,0.967,6.706232464,3.359207392,4.86674,11.89275,0.027,5.0,32.26,8.059593325,2020
Sweden,7.353499889,0.250880182,7,Very High,7.0,0.942,82.4274,19.41852951,12.60972023,52359.21296,0.986,6.478373383,2.795580149,3.8679,12.77164,0.024,4.0,26.72,3.825506114,2020
New Zealand,7.299600124,0.22113885,8,Very High,13.0,0.936,82.7419,20.28388977,12.94468975,41946.38822,0.975,7.425887777,3.988133192,1.840131778,16.44939836,0.09,9.0,30.7,6.941846236,2020
Austria,7.294199944,0.499954879,9,Very High,25.0,0.913,81.5036,16.00795937,12.25669003,51574.18306,0.979,6.894374013,3.227802038,2.52241,14.93291,0.052,5.0,24.62,6.732425105,2020
Luxembourg,7.237500191,0.367084295,10,Very High,17.0,0.924,81.4335,14.39813995,13.01519217,80285.84238,0.991,8.433172277,3.93024683,4.71707,16.6522,0.051,5.0,45.47,13.05892539,2020
Canada,7.23210001,0.390843362,11,Very High,15.0,0.931,82.0471,16.39625931,13.83442722,45038.07302,0.988,7.93892064,4.218761921,2.521,17.077,0.07,10.0,35.05,14.19693746,2020
Australia,7.222799778,0.41516912,12,Very High,5.0,0.947,84.3239,21.05459023,12.72681999,47078.24446,0.966,7.675566646,2.844130039,3.056569899,17.126,0.074,6.0,46.82,15.36837971,2020
United Kingdom,7.164500237,0.435915917,13,Very High,18.0,0.924,80.4345,17.30971909,13.4061203,42374.7622,0.987,8.229676792,3.871590376,2.84785,17.96959,0.1,7.0,17.85,4.854886819,2020
Israel,7.128600121,0.78085506,14,Very High,22.0,0.917,82.3598,16.05088997,13.3448664,39015.07545,0.993,10.88659536,3.253786087,6.272,23.134,0.084,3.0,30.76,6.510389017,2020
Costa Rica,7.121399879,0.786332428,15,Very High,58.0,0.816,79.277,16.54577065,8.804059982,18753.91088,0.993,16.95712179,5.881055355,11.57677,33.41354,0.259,27.0,14.43,1.552260862,2020
Ireland,7.093699932,0.357184172,16,Very High,8.0,0.943,82.4699,18.94522095,11.58222303,67735.8762,0.98,6.142305438,2.767296314,3.39666,12.26296,0.073,5.0,49.25,6.753775883,2020
Germany,7.075799942,0.456422031,17,Very High,9.0,0.944,81.1472,17.01013947,14.09096691,53077.54364,0.977,6.174221125,3.399433374,2.6632,12.46003,0.077,7.0,19.4,7.690141865,2020
United States,6.939599991,0.699715316,18,Very High,21.0,0.92,77.4144,16.28097916,13.68342972,61461.64197,0.997,10.599456,5.830518246,2.745849765,23.222,0.178,19.0,29.65,14.23786361,2020
Belgium,6.863500118,0.612297952,20,Very High,13.0,0.928,80.7884,19.60421944,12.37567997,49391.99684,0.976,6.522517861,3.387473583,5.87561,10.30447,0.048,5.0,33.45,7.226205719,2020
United Arab Emirates,6.790800095,0.594502211,21,Very High,26.0,0.912,78.9457,15.71769047,12.69402981,63016.40122,0.952,,4.645751476,12.63435527,,0.05,3.0,68.95,15.19333592,2020
Malta,6.772799969,0.658547282,22,Very High,23.0,0.911,83.3545,16.83856964,12.21026039,35645.06549,0.984,7.381169472,3.093108416,5.19238,13.85802,0.167,6.0,40.67,3.612105729,2020
France,6.663799763,0.583521128,23,Very High,28.0,0.898,82.2104,15.81206989,11.61005974,43047.83087,0.989,8.498473264,3.855709791,7.72173,13.91798,0.084,8.0,17.1,4.23807293,2020
Mexico,6.465000153,0.806821585,24,High,86.0,0.756,70.1328,14.86443996,9.221050262,17234.78062,0.982,17.64201084,9.63918972,13.48795481,29.798888,0.317,33.0,10.85,2.76863785,2020
Uruguay,6.440100193,0.635994136,26,Very High,58.0,0.821,78.4298,16.83259964,8.982549667,20441.92913,1.019,11.79707848,5.298317432,6.54951,23.543408,0.242,17.0,17.49,1.681218748,2020
Saudi Arabia,6.406499863,0.682619512,27,Very High,35.0,0.87,76.2392,16.13549042,11.31052971,45232.21124,0.918,,5.282067776,18.11940114,,0.244,17.0,30.03,17.96720336,2020
Spain,6.400899887,0.765859902,28,Very High,27.0,0.899,82.2892,17.91690063,10.60540009,36515.96007,0.984,12.63774534,2.867496014,15.73379,19.31195,0.056,4.0,13.48,4.468313378,2020
Guatemala,6.398900032,0.783237457,29,Medium,135.0,0.635,71.7969,10.56245041,5.681300163,8241.444361,0.918,26.24565323,14.22202969,34.95493,29.56,0.485,95.0,7.24,1.05706389,2020
Italy,6.38740015,0.873404682,30,Very High,30.0,0.889,82.3953,16.22678947,10.7401104,39900.63273,0.97,11.21533625,2.719238758,10.05442,20.87235,0.055,2.0,11.85,5.02491109,2020
Singapore,6.377099991,0.109784193,31,Very High,12.0,0.939,82.861,16.5243206,11.92488003,81035.0282,0.989,12.45196671,2.388178349,10.00732115,24.96040064,0.04,8.0,50.43,7.777989731,2020
Brazil,6.375599861,0.770601273,32,High,87.0,0.758,74.0089,15.59906006,8.128813955,13790.71143,0.994,22.31647706,9.990485191,15.65257,41.306376,0.395,60.0,18.87,2.198836949,2020
Slovenia,6.363399982,0.817071021,33,Very High,23.0,0.913,80.4409,17.65492058,12.80368042,36992.83331,0.995,4.352562872,2.692798615,2.05965,8.30524,0.069,7.0,25.38,6.042989257,2020
El Salvador,6.34829998,0.754319906,34,Medium,125.0,0.672,71.0609,12.67134767,7.150929928,7558.531908,0.962,18.64258672,9.652708054,23.7938081,22.481244,0.365,46.0,5.87,0.944111387,2020
Panama,6.304800034,0.851588905,36,Very High,61.0,0.801,76.657,13.05787868,10.54059029,23694.26665,1.015,19.6945483,11.14171219,11.37222672,36.569706,0.395,52.0,13.48,2.498280904,2020
Slovakia,6.280600071,0.918096125,37,Very High,45.0,0.857,77.0054,14.51303959,12.91141987,29801.09302,0.994,5.177890343,4.720211029,1.74792,9.06554,0.184,5.0,19.14,5.628647446,2020
Uzbekistan,6.257599831,0.501497388,38,High,101.0,0.721,70.3309,12.47714043,11.89558983,7512.022906,0.943,,8.950358391,0.550110115,,0.229,29.0,6.12,3.369793419,2020
